--0PQM4-hqg,30,waterfall burbling,train
--56QUhyDQM,185,playing tennis,train
--96EN9NUQM,242,alarm clock ringing,train
--Bu2xe4OSo,430,wind noise,train
--nzKFQ7Myg,109,playing bongo,train
--veKG73Di4,39,playing congas,train
--veKG73Di4,83,playing congas,train
--vpnMyh30c,83,"subway, metro, underground",train
--yJcmmwiMc,30,playing acoustic guitar,train
-011qJFjM4M,56,dog growling,train
-011qJFjM4M,96,dog growling,train
-0UQF2s0VYI,0,horse neighing,train
-0yQTraiAUY,30,"pigeon, dove cooing",train
-12PNUDVUjA,29,playing acoustic guitar,train
-17HGDPd8gE,30,waterfall burbling,train
-1LGZONdjkY,22,playing trumpet,train
-1LGZONdjkY,64,playing trumpet,train
-1Vd89MCLJU,514,footsteps on snow,train
-1Vd89MCLJU,647,footsteps on snow,train
-1XBP-nZ1bQ,90,playing acoustic guitar,train
-1qyr-IzqKY,60,playing accordion,train
-2LHurwr5CQ,45,"subway, metro, underground",train
-2LHurwr5CQ,95,"subway, metro, underground",train
-2QyHTr4cJM,16,waterfall burbling,train
-2TjevpJuAs,30,playing acoustic guitar,train
-2Ugsiz1Ro4,88,turkey gobbling,train
-2k4RLnPDbo,153,playing clarinet,train
-2k4RLnPDbo,333,playing clarinet,train
-30UVzI7M1Y,2,dog whimpering,train
-32EWNC_btk,11,car engine idling,train
-3L1rzGAD_o,30,playing acoustic guitar,train
-3PdsZqxOwA,40,people farting,train
-3YMCZ2AWW0,30,waterfall burbling,train
-3cvcq0X_zo,250,turkey gobbling,train
-3hbLaC4bSs,2,people marching,train
-3hbLaC4bSs,13,people marching,train
-3kt0GobDIM,70,playing accordion,train
-3lvuJ1-KsY,70,playing clarinet,train
-3tQW7Zhl9U,380,helicopter,train
-3yfGzvvYhw,248,cell phone buzzing,train
-46xqouqMxA,6,cat meowing,train
-4CtdVLzUHM,20,playing double bass,train
-4ELUORuKtk,30,playing acoustic guitar,train
-4GGG_1IqE4,211,playing bongo,train
-4GGG_1IqE4,239,playing bongo,train
-4N3GjgnIQ0,260,"subway, metro, underground",train
-4ST8ru_k9Y,30,"pigeon, dove cooing",train
-4XHW-rTETw,0,playing accordion,train
-4XHW-rTETw,29,playing accordion,train
-4bMxEoHn9c,40,people hiccup,train
-4c4jzE5y_c,5,horse neighing,train
-4eXuXHZw_A,30,playing snare drum,train
-4o0jRbgHr4,30,cat meowing,train
-5-8Vij75C8,46,baby laughter,train
-5Ik428qyGo,74,playing snare drum,train
-5MpAJy294E,30,turkey gobbling,train
-5THbQ6zQM4,218,playing accordion,train
-5YLszkC2Ow,30,horse neighing,train
-5dCv5_nvU8,200,people coughing,train
-5jd03ZiyDk,7,dog growling,train
-6BlMu-Mxvo,30,playing accordion,train
-6Hc63ijGxM,386,playing double bass,train
-6HhoAY9Fbs,30,playing acoustic guitar,train
